ciudad,cantidad,ofertas
Madrid,36.93,6742
Barcelona,28.07,5124
En remoto,6.88,1256
Valencia,3.43,627
Sevilla,1.00,183
Alcobendas,0.86,157
Las Rozas,0.83,152
Sant Cugat del Vallès,0.83,151
Málaga,0.67,123
Bilbao,0.66,120
Murcia,0.58,105
Pozuelo de Alarcón,0.56,102
Alacant,0.52,95
Zaragoza,0.44,81
Granada,0.44,80
Palma,0.41,74
A Coruña,0.35,63
Tordera,0.29,53
Sabadell,0.28,52
San Sebastián de los Reyes,0.28,52
Ciudad de México,0.26,47
Granollers,0.26,47
Elche,0.25,46
Mataró,0.25,46
Valladolid,0.25,45
Santander,0.22,41
Badalona,0.22,41
Donostia,0.22,40
